Stellar Spectroscopy - BD-03 4630	
	
Date of Observation:	7/27/2010
Star Observed:	BD-03 4630
Spectral Class:	A4
	
Wavelength (A)	Intensity (Counts)
6930.8	3209.405762
6931.6	3281.003418
6932.4	3226.165527
6933.2	3193.280762
6934	3229.465332
6934.8	3217.648438
6935.6	3236.077637
6936.4	3350.62085
6937.2	3335.122559
6938	3279.783936
6938.8	3367.333984
6939.6	3378.276123
6940.4	3211.199707
6941.2	3192.729248
6942	3259.94873
6942.8	3169.100586
6943.6	3180.0354
6944.4	3160.020752
6945.2	3195.807617
6946	3181.763672
6946.8	3186.209717
6947.6	3059.979736
6948.4	3194.375
6949.2	3195.945068
6950	3254.622559
6950.8	3334.364746
6951.6	3264.240723
6952.4	3322.433105
6953.2	3294.786865
6954	3250.869141
6954.8	3267.724121
6955.6	3251.019531
6956.4	3238.666504
6957.2	3271.505127
6958	3413.866455
6958.8	3309.348389
6959.6	3200.384033
6960.4	3296.016113
6961.2	3367.87915
6962	3416.769043
6962.8	3373.478271
6963.6	3380.391846
6964.4	3275.852295
6965.2	3415.105713
6966	3386.911133
6966.8	3368.487549
6967.6	3409.061279
6968.4	3335.069824
6969.2	3381.258545
6970	3420.377686
6970.8	3379.717041
6971.6	3315.004883
6972.4	3394.230225
6973.2	3465.112305
6974	3453.480957
6974.8	3370.352051
6975.6	3396.746094
6976.4	3384.204834
6977.2	3374.728516
6978	3228.206055
6978.8	3284.198486
6979.6	3295.858398
6980.4	3351.610596
6981.2	3345.030518
6982	3301.013916
6982.8	3313.939453
6983.6	3381.137451
6984.4	3390.314697
6985.2	3397.731689
6986	3377.663086
6986.8	3326.899658
6987.6	3355.131104
6988.4	3408.299072
6989.2	3340.348145
6990	3305.504639
6990.8	3349.105957
6991.6	3262.510986
6992.4	3293.045166
6993.2	3106.570801
6994	3135.390869
6994.8	3233.190186
6995.6	3172.276123
6996.4	3136.027344
6997.2	3145.51001
6998	3161.668701
6998.8	3191.121094
6999.6	3209.927979
7000.4	3255.676758
7001.2	3347.123535
7002	3387.880615
7002.8	3368.660889
7003.6	3266.476562
7004.4	3283.203857
7005.2	3140.267334
7006	3207.219238
7006.8	3143.255127
7007.6	3134.947021
7008.4	3153.14624
7009.2	3046.826172
7010	3218.351074
7010.8	3187.874512
7011.6	3190.356934
7012.4	3284.59082
7013.2	3355.129639
7014	3425.176514
7014.8	3384.39917
7015.6	3370.146484
7016.4	3365.731445
7017.2	3345.375488
7018	3428.459229
7018.8	3444.765381
7019.6	3344.804688
7020.4	3296.2229
7021.2	3290.817383
7022	3278.134033
7022.8	3322.901367
7023.6	3183.743164
7024.4	3240.95166
7025.2	3341.911865
7026	3290.168701
7026.8	3266.428711
7027.6	3205.616943
7028.4	3165.691406
7029.2	3239.661621
7030	3197.355957
7030.8	3164.496826
7031.6	3176.918701
7032.4	3206.538086
7033.2	3197.94458
7034	3223.616211
7034.8	3158.091064
7035.6	3172.715088
7036.4	3190.754883
7037.2	3131.88208
7038	3146.153809
7038.8	3140.282471
7039.6	3149.137939
7040.4	3109.982422
7041.2	3176.655518
7042	3196.127197
7042.8	3140.826904
7043.6	3138.82666
7044.4	3199.703369
7045.2	3208.041992
7046	3180.346924
7046.8	3176.072021
7047.6	3246.242432
7048.4	3249.491211
7049.2	3288.91626
7050	3320.972168
7050.8	3178.817627
7051.6	3241.273682
7052.4	3191.175293
7053.2	3328.253418
7054	3331.39209
7054.8	3426.248291
7055.6	3432.508301
7056.4	3429.597168
7057.2	3393.041504
7058	3381.954102
7058.8	3347.42749
7059.6	3330.586182
7060.4	3215.518799
7061.2	3284.698975
7062	3293.200439
7062.8	3261.424316
7063.6	3263.440918
7064.4	3276.633545
7065.2	3149.381836
7066	3159.620117
7066.8	3146.539062
7067.6	3176.395264
7068.4	3210.66748
7069.2	3172.367432
7070	3160.643799
7070.8	3161.826904
7071.6	3140.48291
7072.4	3155.275391
7073.2	3189.649658
7074	3089.19751
7074.8	3205.288086
7075.6	3160.964355
7076.4	3143.0896
7077.2	3222.889648
7078	3301.536377
7078.8	3256.333984
7079.6	3239.60376
7080.4	3236.947021
7081.2	3269.472412
7082	3344.492432
7082.8	3465.864502
7083.6	3408.834961
7084.4	3348.94165
7085.2	3326.574219
7086	3344.293457
7086.8	3303.39917
7087.6	3347.904297
7088.4	3296.056641
7089.2	3294.128906
7090	3327.310791
7090.8	3315.664795
7091.6	3239.05249
7092.4	3322.186279
7093.2	3278.556396
7094	3271.502441
7094.8	3233.115723
7095.6	3275.700195
7096.4	3257.893066
7097.2	3285.095947
7098	3205.185059
7098.8	3316.580078
7099.6	3210.005127
7100.4	3173.193359
7101.2	3165.043945
7102	3191.137939
7102.8	3160.908936
7103.6	3111.782959
7104.4	3171.734131
7105.2	3196.326904
7106	3174.573242
7106.8	3124.157471
7107.6	3119.965576
7108.4	3074.850342
7109.2	3119.183105
7110	3080.084961
7110.8	3099.821777
7111.6	3026.52002
7112.4	3002.052246
7113.2	3069.239014
7114	3038.339355
7114.8	2991.628906
7115.6	3033.05542
7116.4	3072.261475
7117.2	3123.87915
7118	3016.315186
7118.8	3045.882324
7119.6	3084.461426
7120.4	3014.809814
7121.2	3018.24707
7122	3082.821045
7122.8	3006.282715
7123.6	3064.976318
7124.4	2992.010254
7125.2	3070.095947
7126	3060.979004
7126.8	3050.689209
7127.6	3009.848877
7128.4	3041.487061
7129.2	3068.251709
7130	3061.557129
7130.8	2941.062744
7131.6	3048.602051
7132.4	3088.381348
7133.2	3051.263672
7134	3110.466553
7134.8	3183.720459
7135.6	3117.310303
7136.4	3137.440918
7137.2	3166.126465
7138	3124.55835
7138.8	3131.394043
7139.6	3211.703613
7140.4	3226.185791
7141.2	3198.887207
7142	3131.656494
7142.8	3232.535645
7143.6	3101.35376
7144.4	3151.195312
