Steller Spectroscopy HD 200207	
	
Date of Observation:	7/23/2010
Star Observed:	HD 200207
Spectral Class:	G5
	
Wavelength (A)	Intensity (Counts)
7138.8	17534.08
7139.6	17145.33
7140.4	17253.67
7141.2	17991.17
7142	17826.88
7142.8	17352.29
7143.6	17469.26
7144.4	17711.26
7145.2	16908.11
7146	16925.36
7146.8	17686.83
7147.6	16893.62
7148.4	15608.05
7149.2	16687.2
7150	17491.31
7150.8	17056.92
7151.6	16858.01
7152.4	17589.54
7153.2	18064.08
7154	17824.77
7154.8	17545.95
7155.6	16302.97
7156.4	16699.8
7157.2	17641.55
7158	17206
7158.8	16552.6
7159.6	16305.08
7160.4	16116.33
7161.2	16197.48
7162	16134.69
7162.8	15720.79
7163.6	15619.2
7164.4	14238.61
7165.2	13660.67
7166	14461.07
7166.8	14903.81
7167.6	14616.16
7168.4	14868.71
7169.2	15767.32
7170	15622.09
7170.8	14850.95
7171.6	15843.19
7172.4	15930.68
7173.2	14716.64
7174	14180.11
7174.8	15186.21
7175.6	15454.55
7176.4	14245.47
7177.2	13116.46
7178	13116.04
7178.8	14762.93
7179.6	15370.72
7180.4	14770.21
7181.2	13502.28
7182	12086.94
7182.8	13785.81
7183.6	15275.34
7184.4	13364.14
7185.2	11665.12
7186	12639.82
7186.8	11056.06
7187.6	9726.74
7188.4	11805.25
7189.2	13246.36
7190	13446.62
7190.8	13840.36
7191.6	12376.96
7192.4	11686.38
7193.2	12243.54
7194	11565.05
7194.8	12700.73
7195.6	13435.95
7196.4	13884
7197.2	12594.16
7198	12427.7
7198.8	12669.78
7199.6	13167.59
7200.4	12143.84
7201.2	10292.21
7202	10379.8
7202.8	11649.78
7203.6	12385.23
7204.4	11353.63
7205.2	11624.84
7206	12097.06
7206.8	10198.93
7207.6	9807.9
7208.4	11362.46
7209.2	11806.28
7210	11546.64
7210.8	12741.17
7211.6	13185.45
7212.4	13108.2
7213.2	13003.01
7214	13013.19
7214.8	12816.41
7215.6	12942.08
7216.4	12518.95
7217.2	12662.8
7218	13512.19
7218.8	13227.58
7219.6	12995.59
7220.4	13040.89
7221.2	12934.45
7222	13136.58
7222.8	12699.05
7223.6	11699.2
7224.4	11537.42
7225.2	12855.51
7226	12877.32
7226.8	12576.22
7227.6	12175.71
7228.4	11947.98
7229.2	11790.96
7230	12455.88
7230.8	12606.53
7231.6	12673.44
7232.4	12014.78
7233.2	10789.89
7234	11375.96
7234.8	10666.69
7235.6	10221.99
7236.4	11011.25
7237.2	11775.02
7238	12695.77
7238.8	12674.94
7239.6	12146.1
