Stellar Spectroscopy - BD+36-4307	
	
Date of Observation:	7/23/2010
Star Observed:	BD+36 4307
Spectral Class:	K0
	
Wavelength (A)	Intensity (Counts)
6936.4	8261.61
6937.2	8084.86
6938	7920.35
6938.8	8093.09
6939.6	8141.53
6940.4	8022.5
6941.2	8080.6
6942	8072.3
6942.8	7904.6
6943.6	7622.97
6944.4	7566.08
6945.2	7710.07
6946	7327.39
6946.8	7818.83
6947.6	7725.18
6948.4	7749.2
6949.2	8000.86
6950	7994.69
6950.8	8034.96
6951.6	7297.89
6952.4	7508.42
6953.2	7595.71
6954	7438.33
6954.8	7648.63
6955.6	7438.4
6956.4	7440.33
6957.2	7695.77
6958	7799.65
6958.8	7831.7
6959.6	7781.84
6960.4	7685.3
6961.2	7592.54
6962	7898.4
6962.8	7934.77
6963.6	8010.75
6964.4	7995.18
6965.2	8311.04
6966	7856.98
6966.8	7917.32
6967.6	8371.24
6968.4	8602.34
6969.2	8484.31
6970	8522.91
6970.8	8152.55
6971.6	7979.26
6972.4	8171.81
6973.2	8786.37
6974	8833.99
6974.8	8445.64
6975.6	8172.05
6976.4	8152.41
6977.2	7911.4
6978	7723.77
6978.8	6965.76
6979.6	6822.85
6980.4	7649.92
6981.2	8241.64
6982	7906.93
6982.8	8306.86
6983.6	8519.42
6984.4	8615.87
6985.2	8536.25
6986	8398.95
6986.8	8024.44
6987.6	8133.06
6988.4	8155.05
6989.2	7874.91
6990	7696.93
6990.8	7849.3
6991.6	8266.05
6992.4	8311.01
6993.2	8120.58
6994	8056.05
6994.8	7752.54
6995.6	7970.02
6996.4	8443.28
6997.2	8321.76
6998	8241.82
6998.8	8166.81
6999.6	7768.69
7000.4	7501.83
7001.2	7698.63
7002	7923.77
7002.8	8315.31
7003.6	8345.98
7004.4	7486.67
7005.2	7334.92
7006	7590.25
7006.8	7623.8
7007.6	7751.7
7008.4	7799.01
7009.2	7956.95
7010	7953.72
7010.8	7891.05
7011.6	7622.2
7012.4	7770.92
7013.2	8005.9
7014	8168.84
7014.8	8299.68
7015.6	7790
7016.4	6934.82
7017.2	6521.53
7018	7632.94
7018.8	8292.95
7019.6	8457.87
7020.4	8455.58
7021.2	8362.39
7022	8709.04
7022.8	8389.48
7023.6	7778.09
7024.4	7483.44
7025.2	7500.87
7026	7955.02
7026.8	7887.65
7027.6	7710
7028.4	7879.91
7029.2	7751.27
7030	7879.16
7030.8	7892.92
7031.6	7907.77
7032.4	7729.99
7033.2	7597.98
7034	7805.09
7034.8	7772.04
7035.6	7747.39
7036.4	8003.69
7037.2	8099.17
7038	7558.38
7038.8	6925.7
7039.6	6962.11
7040.4	7794.32
7041.2	8307.82
7042	8669.76
7042.8	8713.88
7043.6	8749.32
7044.4	8580.19
7045.2	7950.76
7046	7905.17
7046.8	8457.09
7047.6	8452.76
7048.4	8853.05
7049.2	8951.47
7050	8822.58
7050.8	8736.06
7051.6	8690.25
7052.4	8446.88
7053.2	7525.26
7054	7840.29
7054.8	8446.64
7055.6	8550.99
7056.4	8616.4
7057.2	8730.66
7058	8697.14
7058.8	8461.39
7059.6	8419.1
7060.4	7685.83
7061.2	7694.93
7062	8253.67
7062.8	8448.08
7063.6	8066.86
7064.4	8464.29
7065.2	8550.81
7066	8191.26
7066.8	7919.77
7067.6	7582.31
7068.4	7271.41
7069.2	6957.69
7070	7523.69
7070.8	8078.92
7071.6	8338.95
7072.4	8282.12
7073.2	8134.58
7074	8503.48
7074.8	8450.09
7075.6	8491.34
7076.4	8395.13
7077.2	8285.64
7078	8615.6
7078.8	8666.9
7079.6	8633.78
7080.4	8921.7
7081.2	8981.84
7082	9081.26
7082.8	8749.16
7083.6	8403.57
7084.4	7858.94
7085.2	7200.12
7086	7533.64
7086.8	8271.13
7087.6	8117.11
7088.4	7964.43
7089.2	8232.84
7090	8022.36
7090.8	7761.62
7091.6	7769.39
7092.4	8253.03
7093.2	7833.96
7094	7837.79
7094.8	8313.86
7095.6	8196.02
7096.4	8245.88
7097.2	8296.23
7098	8329.17
7098.8	8442.4
7099.6	8516.18
7100.4	8325.32
7101.2	8347.69
7102	8050.63
7102.8	7976.91
7103.6	7762.04
7104.4	7897.06
7105.2	8416.27
7106	8314.05
7106.8	8026.04
7107.6	7455.32
7108.4	7361.61
7109.2	7638.34
7110	7825.1
7110.8	7605.06
7111.6	7293.59
7112.4	7477.33
7113.2	7484.66
7114	7624.16
7114.8	7765.23
7115.6	7503.98
7116.4	7692.69
7117.2	7670.27
7118	7550.73
7118.8	7546.49
7119.6	7516.15
7120.4	7133.42
7121.2	7431.47
7122	7688.76
7122.8	6920.57
7123.6	7310.15
7124.4	7684.6
7125.2	7562.68
7126	7369.33
7126.8	7359.06
7127.6	7287.19
7128.4	7303.99
7129.2	7469.32
7130	7186.88
7130.8	6848.94
7131.6	6643.8
7132.4	7165.37
7133.2	7315.41
7134	7493.79
7134.8	7939.3
7135.6	7855.39
7136.4	7585.41
7137.2	7898.23
7138	8208.31
7138.8	8093.56
7139.6	7397.09
7140.4	7252.69
7141.2	7779.53
7142	8200.78
7142.8	7983.25
7143.6	7627.65
7144.4	7914
7145.2	7701.84
7146	7283.76
7146.8	7853.22
7147.6	7845.61
7148.4	7172.49
7149.2	6961.01
7150	7555.69
7150.8	7504.37
7151.6	7362.21
7152.4	7625.24
7153.2	8125.78
7154	8093.94
7154.8	8065.91
7155.6	7429.85
7156.4	6953.73
7157.2	7762.68
7158	8092.3
7158.8	7454.14
7159.6	7274.08
7160.4	7021.65
7161.2	6849.78
7162	7090.3
7162.8	7191.82
7163.6	7246.35
7164.4	6466.45
7165.2	5983.73
7166	6144.5
7166.8	6483.77
7167.6	6593.89
7168.4	6731.71
7169.2	7257.4
7170	6947.7
7170.8	6460.97
7171.6	6831.63
7172.4	7258.44
7173.2	6826.34
7174	6487.94
7174.8	6783.4
7175.6	7087.75
7176.4	6506.05
7177.2	5817.79
7178	5951.71
7178.8	6900.94
7179.6	7088.8
7180.4	6648.19
7181.2	6150.02
7182	5177.71
7182.8	5851.67
7183.6	6877.62
7184.4	6210.31
7185.2	5371.45
7186	5555.51
7186.8	5099.15
7187.6	4485.5
7188.4	4889.12
7189.2	5745.52
7190	5917.96
7190.8	5975.73
7191.6	5578.76
7192.4	5161.46
7193.2	5462.97
7194	4894.32
7194.8	5498.35
7195.6	5986.69
7196.4	6357.43
7197.2	6019.2
7198	5505.31
7198.8	5692.71
7199.6	5939.78
7200.4	5487.53
7201.2	4641.13
7202	4785.71
7202.8	5277.35
7203.6	5536.68
7204.4	5111.02
7205.2	5220.26
7206	5463.46
7206.8	4922
7207.6	4377.52
7208.4	4623.39
7209.2	5164.36
7210	5019.38
7210.8	5603.67
7211.6	6099.52
7212.4	6088.31
7213.2	5991.81
7214	5713.36
7214.8	5744.17
7215.6	5731.65
7216.4	5695.95
7217.2	5493.68
7218	6199.37
7218.8	6152.04
7219.6	6102.61
7220.4	5995.27
7221.2	5915.51
7222	5722.07
7222.8	5834.96
7223.6	5259.04
7224.4	5049.25
7225.2	5709.52
7226	6058.14
7226.8	5776.45
7227.6	5509.44
7228.4	5516.55
7229.2	5228.29
7230	5393.62
7230.8	5574.93
7231.6	5673.21
7232.4	5555.41
7233.2	4991.11
7234	5079.2
7234.8	4915.46
7235.6	4838.13
7236.4	5041.34
7237.2	5138.86
7238	5602.02
7238.8	5668.69
7239.6	5615.89
7240.4	5072.22
7241.2	4529.02
7242	5361.5
7242.8	5811.56
7243.6	5255.96
7244.4	4998.36
7245.2	4824.94
7246	4654.62
7246.8	4863.32
7247.6	5215.73
7248.4	5648.74
7249.2	5694.1
7250	5418
7250.8	5266.18
7251.6	5242.22
7252.4	4621.7
7253.2	4303.65
7254	4302.12
7254.8	5171.12
7255.6	5464.61
7256.4	5597.78
7257.2	5727.92
7258	5653.89
7258.8	5557.96
7259.6	5619.57
7260.4	5681.39
7261.2	5327.08
7262	4512.55
7262.8	4722.54
7263.6	5441.91
7264.4	5261.43
7265.2	4763.44
7266	4648.64
7266.8	5045.81
7267.6	5710.39
7268.4	5719.97
7269.2	5576.83
7270	5508.48
7270.8	5491.67
7271.6	5515.53
7272.4	5460.5
7273.2	4950.71
7274	5081.58
7274.8	5424.66
7275.6	5298.3
7276.4	5181.47
7277.2	5063.15
7278	4730.82
7278.8	4929.48
7279.6	5185.17
7280.4	5597.85
7281.2	5629.93
7282	5625.18
7282.8	5189.36
7283.6	5231.01
7284.4	5419.43
7285.2	5509.6
7286	5565.79
7286.8	5832.58
7287.6	5309.27
7288.4	5021.99
7289.2	5008.66
7290	4657.8
7290.8	4719.71
7291.6	4516.9
7292.4	4522.58
7293.2	4620.99
7294	4833.41
7294.8	5366.23
7295.6	5444.82
7296.4	5826.65
7297.2	6495.38
7298	6241.83
7298.8	6090.94
7299.6	5924.99
7300.4	5610.42
7301.2	5826.09
7302	6102.77
7302.8	5756.67
7303.6	5402.98
7304.4	5290.38
7305.2	5706.86
7306	5985.01
7306.8	5892.49
7307.6	5932.43
7308.4	5692.78
7309.2	5265.9
7310	5628.45
7310.8	6144.8
7311.6	5603.4
7312.4	5617.82
7313.2	5764.83
7314	5868.16
7314.8	6296
7315.6	6167.83
7316.4	6143.22
7317.2	5954.19
7318	5755.02
7318.8	5400.21
7319.6	5609.38
7320.4	6400.29
7321.2	6042.75
7322	6109.49
7322.8	6439.5
7323.6	6265.83
7324.4	5674.51
7325.2	5861.64
7326	5953.84
7326.8	5373.47
